國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode
TW0002642006,2642,宅配通,上市 ,股票,航運業,2013/12/12,ESVUFR
TW0002701000,2701,萬企,上市 ,股票,觀光事業,1965/03/22,ESVUFR
TW0002702008,2702,華園,上市 ,股票,觀光事業,1965/02/14,ESVUFR
TW0002704004,2704,國賓,上市 ,股票,觀光事業,1982/11/10,ESVUFR
TW0002705001,2705,六福,上市 ,股票,觀光事業,1988/12/24,ESVUFR
TW0002706009,2706,第一店,上市 ,股票,觀光事業,1991/06/25,ESVUFR
TW0002707007,2707,晶華,上市 ,股票,觀光事業,1998/03/09,ESVUFR
TW0002712007,2712,遠雄來,上市 ,股票,觀光事業,2013/12/03,ESVUFR
TW0002722006,2722,夏都,上市 ,股票,觀光事業,2012/03/14,ESVUFR
KYG4002A1004,2723,美食-KY,上市 ,股票,觀光事業,2010/11/22,ESVUFR
TW0002727005,2727,王品,上市 ,股票,觀光事業,2012/03/06,ESVUFR
TW0002731007,2731,雄獅,上市 ,股票,觀光事業,2013/09/24,ESVUFR
TW0002739000,2739,寒舍,上市 ,股票,觀光事業,2016/05/19,ESVUFR
TW0002748001,2748,雲品,上市 ,股票,觀光事業,2016/11/23,ESVUFR
TW0002801008,2801,彰銀,上市 ,股票,金融保險業,1962/02/15,ESVUFR
TW0002809001,2809,京城銀,上市 ,股票,金融保險業,1983/07/20,ESVUFR
TW0002812005,2812,台中銀,上市 ,股票,金融保險業,1984/05/15,ESVUFR
TW0002816006,2816,旺旺保,上市 ,股票,金融保險業,1992/05/05,ESVUFR
TW0002820008,2820,華票,上市 ,股票,金融保險業,1994/10/26,ESVUFR
TW0002823002,2823,中壽,上市 ,股票,金融保險業,1995/02/08,ESVUFR
TW0002832003,2832,台產,上市 ,股票,金融保險業,1997/09/30,ESVUFR
TW0002834009,2834,臺企銀,上市 ,股票,金融保險業,1998/01/03,ESVUFR
TW0002836004,2836,高雄銀,上市 ,股票,金融保險業,1998/05/18,ESVUFR
TW0002838000,2838,聯邦銀,上市 ,股票,金融保險業,1998/06/29,ESVUFR
TW0002841004,2841,台開,上市 ,股票,建材營造業,1999/01/08,ESVUFR
TW0002845005,2845,遠東銀,上市 ,股票,金融保險業,1998/11/27,ESVUFR
TW0002849007,2849,安泰銀,上市 ,股票,金融保險業,1999/09/27,ESVUFR
TW0002850005,2850,新產,上市 ,股票,金融保險業,2000/05/22,ESVUFR
TW0002851003,2851,中再保,上市 ,股票,金融保險業,2000/07/06,ESVUFR
TW0002852001,2852,第一保,上市 ,股票,金融保險業,2000/11/28,ESVUFR
TW0002855004,2855,統一證,上市 ,股票,金融保險業,2002/09/16,ESVUFR
TW0002867009,2867,三商壽,上市 ,股票,金融保險業,2012/12/18,ESVUFR
TW0002880002,2880,華南金,上市 ,股票,金融保險業,2001/12/19,ESVUFR
TW0002881000,2881,富邦金,上市 ,股票,金融保險業,2001/12/19,ESVUFR
TW0002882008,2882,國泰金,上市 ,股票,金融保險業,2001/12/31,ESVUFR
TW0002883006,2883,開發金,上市 ,股票,金融保險業,2001/12/28,ESVUFR
TW0002884004,2884,玉山金,上市 ,股票,金融保險業,2002/01/28,ESVUFR
TW0002885001,2885,元大金,上市 ,股票,金融保險業,2002/02/04,ESVUFR
TW0002886009,2886,兆豐金,上市 ,股票,金融保險業,2002/02/04,ESVUFR
TW0002887007,2887,台新金,上市 ,股票,金融保險業,2002/02/18,ESVUFR
TW0002888005,2888,新光金,上市 ,股票,金融保險業,2002/02/19,ESVUFR
TW0002889003,2889,國票金,上市 ,股票,金融保險業,2002/03/26,ESVUFR
TW0002890001,2890,永豐金,上市 ,股票,金融保險業,2002/05/09,ESVUFR
TW0002891009,2891,中信金,上市 ,股票,金融保險業,2002/05/17,ESVUFR
TW0002892007,2892,第一金,上市 ,股票,金融保險業,2003/01/02,ESVUFR
TW0002897006,2897,王道銀行,上市 ,股票,金融保險業,2017/05/05,ESVUFR
TW0002901006,2901,欣欣,上市 ,股票,貿易百貨業,1976/05/07,ESVUFR
TW0002903002,2903,遠百,上市 ,股票,貿易百貨業,1978/10/11,ESVUFR
TW0002904000,2904,匯僑,上市 ,股票,其他業,1983/01/05,ESVUFR
TW0002905007,2905,三商,上市 ,股票,貿易百貨業,1988/09/19,ESVUFR
TW0002906005,2906,高林,上市 ,股票,貿易百貨業,1989/12/26,ESVUFR
TW0002908001,2908,特力,上市 ,股票,貿易百貨業,1993/02/18,ESVUFR
TW0002910007,2910,統領,上市 ,股票,貿易百貨業,1996/12/30,ESVUFR
TW0002911005,2911,麗嬰房,上市 ,股票,貿易百貨業,1997/01/18,ESVUFR
TW0002912003,2912,統一超,上市 ,股票,貿易百貨業,1997/08/22,ESVUFR
TW0002913001,2913,農林,上市 ,股票,貿易百貨業,1962/02/09,ESVUFR
TW0002915006,2915,潤泰全,上市 ,股票,貿易百貨業,1977/07/20,ESVUFR
KYG8190L1095,2923,鼎固-KY,上市 ,股票,建材營造業,2012/12/07,ESVUFR
KYG8922A1085,2929,淘帝-KY,上市 ,股票,貿易百貨業,2013/12/30,ESVUFR
KYG224031024,2936,客思達-KY,上市 ,股票,貿易百貨業,2016/09/26,ESVUFR
KYG108031074,2939,凱羿-KY,上市 ,股票,貿易百貨業,2018/01/11,ESVUFR
TW0003002002,3002,歐格,上市 ,股票,電腦及週邊設備業,2002/01/23,ESVUFR
TW0003003000,3003,健和興,上市 ,股票,電子零組件業,2002/02/19,ESVUFR
TW0003004008,3004,豐達科,上市 ,股票,鋼鐵工業,2002/02/25,ESVUFR
TW0003005005,3005,神基,上市 ,股票,電腦及週邊設備業,2002/02/25,ESVUFR
TW0003006003,3006,晶豪科,上市 ,股票,半導體業,2002/03/04,ESVUFR
TW0003008009,3008,大立光,上市 ,股票,光電業,2002/03/11,ESVUFR
TW0003010005,3010,華立,上市 ,股票,電子通路業,2002/07/22,ESVUFR
TW0003011003,3011,今皓,上市 ,股票,電子零組件業,2002/07/22,ESVUFR
TW0003013009,3013,晟銘電,上市 ,股票,電腦及週邊設備業,2002/09/16,ESVUFR
TW0003014007,3014,聯陽,上市 ,股票,半導體業,2002/10/29,ESVUFR
TW0003015004,3015,全漢,上市 ,股票,電子零組件業,2002/10/16,ESVUFR
TW0003016002,3016,嘉晶,上市 ,股票,半導體業,2002/12/24,ESVUFR
TW0003017000,3017,奇鋐,上市 ,股票,電腦及週邊設備業,2002/09/27,ESVUFR
TW0003018008,3018,同開,上市 ,股票,其他電子業,2002/08/26,ESVUFR
TW0003019006,3019,亞光,上市 ,股票,光電業,2002/08/26,ESVUFR
TW0003021002,3021,鴻名,上市 ,股票,電子零組件業,2002/08/26,ESVUFR
TW0003022000,3022,威強電,上市 ,股票,電腦及週邊設備業,2002/08/26,ESVUFR
TW0003023008,3023,信邦,上市 ,股票,電子零組件業,2002/08/26,ESVUFR
TW0003024006,3024,憶聲,上市 ,股票,光電業,2002/08/26,ESVUFR
TW0003025003,3025,星通,上市 ,股票,通信網路業,2002/08/26,ESVUFR
TW0003026001,3026,禾伸堂,上市 ,股票,電子零組件業,2002/08/26,ESVUFR
TW0003027009,3027,盛達,上市 ,股票,通信網路業,2002/08/26,ESVUFR
TW0003028007,3028,增你強,上市 ,股票,電子通路業,2002/08/26,ESVUFR
TW0003029005,3029,零壹,上市 ,股票,資訊服務業,2002/08/26,ESVUFR
TW0003030003,3030,德律,上市 ,股票,其他電子業,2002/10/29,ESVUFR
TW0003031001,3031,佰鴻,上市 ,股票,光電業,2002/08/26,ESVUFR
TW0003032009,3032,偉訓,上市 ,股票,電子零組件業,2002/08/26,ESVUFR
TW0003033007,3033,威健,上市 ,股票,電子通路業,2002/08/26,ESVUFR
TW0003034005,3034,聯詠,上市 ,股票,半導體業,2002/08/26,ESVUFR
TW0003035002,3035,智原,上市 ,股票,半導體業,2002/08/26,ESVUFR
TW0003036000,3036,文曄,上市 ,股票,電子通路業,2002/08/26,ESVUFR
TW0003037008,3037,欣興,上市 ,股票,電子零組件業,2002/08/26,ESVUFR
TW0003038006,3038,全台,上市 ,股票,光電業,2002/08/26,ESVUFR
TW0003040002,3040,遠見,上市 ,股票,其他業,2002/08/26,ESVUFR
TW0003041000,3041,揚智,上市 ,股票,半導體業,2002/08/26,ESVUFR
TW0003042008,3042,晶技,上市 ,股票,電子零組件業,2002/08/26,ESVUFR
TW0003043006,3043,科風,上市 ,股票,其他電子業,2002/08/26,ESVUFR
TW0003044004,3044,健鼎,上市 ,股票,電子零組件業,2002/08/26,ESVUFR
TW0003045001,3045,台灣大,上市 ,股票,通信網路業,2002/08/26,ESVUFR
TW0003046009,3046,建碁,上市 ,股票,電腦及週邊設備業,2002/08/26,ESVUFR
TW0003047007,3047,訊舟,上市 ,股票,通信網路業,2002/08/26,ESVUFR
TW0003048005,3048,益登,上市 ,股票,電子通路業,2002/10/01,ESVUFR
TW0003049003,3049,和鑫,上市 ,股票,光電業,2002/09/27,ESVUFR
TW0003050001,3050,鈺德,上市 ,股票,光電業,2002/10/29,ESVUFR
TW0003051009,3051,力特,上市 ,股票,光電業,2002/10/28,ESVUFR
TW0003052007,3052,夆典,上市 ,股票,建材營造業,1995/11/25,ESVUFR
TW0003054003,3054,立萬利,上市 ,股票,半導體業,2002/11/18,ESVUFR
TW0003055000,3055,蔚華科,上市 ,股票,電子通路業,2002/12/12,ESVUFR
TW0003056008,3056,總太,上市 ,股票,建材營造業,2003/03/03,ESVUFR
TW0003057006,3057,喬鼎,上市 ,股票,電腦及週邊設備業,2002/12/18,ESVUFR
TW0003058004,3058,立德,上市 ,股票,電子零組件業,2002/12/09,ESVUFR
TW0003059002,3059,華晶科,上市 ,股票,光電業,2002/12/24,ESVUFR
TW0003060000,3060,銘異,上市 ,股票,電腦及週邊設備業,2003/04/21,ESVUFR
TW0003062006,3062,建漢,上市 ,股票,通信網路業,2003/07/28,ESVUFR
TW0003090007,3090,日電貿,上市 ,股票,電子零組件業,2007/12/31,ESVUFR
TW0003094009,3094,聯傑,上市 ,股票,半導體業,2007/08/06,ESVUFR
TW0003130001,3130,一零四,上市 ,股票,資訊服務業,2006/02/17,ESVUFR
TW0003138004,3138,耀登,上市 ,股票,通信網路業,2020/12/11,ESVUFR
TW0003149001,3149,正達,上市 ,股票,光電業,2011/11/23,ESVUFR
TW0003164000,3164,景岳,上市 ,股票,生技醫療業,2010/03/22,ESVUFR
TW0003167003,3167,大量,上市 ,股票,電機機械,2013/10/21,ESVUFR
TW0003189007,3189,景碩,上市 ,股票,半導體業,2004/11/01,ESVUFR
TW0003209003,3209,全科,上市 ,股票,電子通路業,2008/11/26,ESVUFR
TW0003229001,3229,晟鈦,上市 ,股票,電子零組件業,2009/12/31,ESVUFR
TW0003231007,3231,緯創,上市 ,股票,電腦及週邊設備業,2003/08/19,ESVUFR
TW0003257002,3257,虹冠電,上市 ,股票,半導體業,2011/03/21,ESVUFR
TW0003266003,3266,昇陽,上市 ,股票,建材營造業,2014/12/24,ESVUFR
TW0003296000,3296,勝德,上市 ,股票,電子零組件業,2007/12/31,ESVUFR
TW0003305009,3305,昇貿,上市 ,股票,其他電子業,2008/07/10,ESVUFR
TW0003308003,3308,聯德,上市 ,股票,電子零組件業,2008/03/12,ESVUFR
TW0003311007,3311,閎暉,上市 ,股票,通信網路業,2004/03/08,ESVUFR
TW0003312005,3312,弘憶股,上市 ,股票,電子通路業,2010/12/29,ESVUFR
TW0003321006,3321,同泰,上市 ,股票,電子零組件業,2015/12/15,ESVUFR
TW0003338000,3338,泰碩,上市 ,股票,電子零組件業,2013/12/13,ESVUFR
TW0003346003,3346,麗清,上市 ,股票,汽車工業,2016/12/19,ESVUFR
TW0003356002,3356,奇偶,上市 ,股票,光電業,2005/03/28,ESVUFR
TW0003376000,3376,新日興,上市 ,股票,電子零組件業,2007/12/31,ESVUFR
TW0003380002,3380,明泰,上市 ,股票,通信網路業,2004/12/20,ESVUFR
TW0003383006,3383,新世紀,上市 ,股票,光電業,2007/12/10,ESVUFR
TW0003406005,3406,玉晶光,上市 ,股票,光電業,2005/12/20,ESVUFR
TW0003413001,3413,京鼎,上市 ,股票,半導體業,2015/07/28,ESVUFR
TW0003416004,3416,融程電,上市 ,股票,電腦及週邊設備業,2015/01/23,ESVUFR
TW0003419008,3419,譁裕,上市 ,股票,通信網路業,2008/01/21,ESVUFR
TW0003432001,3432,台端,上市 ,股票,電子零組件業,2010/12/30,ESVUFR
TW0003437000,3437,榮創,上市 ,股票,光電業,2014/07/09,ESVUFR
TW0003443008,3443,創意,上市 ,股票,半導體業,2006/11/03,ESVUFR
TW0003450003,3450,聯鈞,上市 ,股票,其他電子業,2006/04/12,ESVUFR
TW0003454005,3454,晶睿,上市 ,股票,光電業,2011/07/22,ESVUFR
TW0003481008,3481,群創,上市 ,股票,光電業,2006/10/24,ESVUFR
TW0003494001,3494,誠研,上市 ,股票,電腦及週邊設備業,2007/12/13,ESVUFR
TW0003501003,3501,維熹,上市 ,股票,電子零組件業,2007/09/20,ESVUFR
TW0003504007,3504,揚明光,上市 ,股票,光電業,2007/01/26,ESVUFR
TW0003515003,3515,華擎,上市 ,股票,電腦及週邊設備業,2007/11/08,ESVUFR
TW0003518007,3518,柏騰,上市 ,股票,其他電子業,2007/11/28,ESVUFR
TW0003528006,3528,安馳,上市 ,股票,電子通路業,2016/05/18,ESVUFR
TW0003530002,3530,晶相光,上市 ,股票,半導體業,2018/07/16,ESVUFR
TW0003532008,3532,台勝科,上市 ,股票,半導體業,2007/12/10,ESVUFR
TW0003533006,3533,嘉澤,上市 ,股票,電子零組件業,2007/12/10,ESVUFR
TW0003535001,3535,晶彩科,上市 ,股票,光電業,2008/01/31,ESVUFR
TW0003536009,3536,誠創,上市 ,股票,半導體業,2008/04/30,ESVUFR
TW0003543005,3543,州巧,上市 ,股票,光電業,2020/04/15,ESVUFR
TW0003545000,3545,敦泰,上市 ,股票,半導體業,2007/07/03,ESVUFR
TW0003550000,3550,聯穎,上市 ,股票,電子零組件業,2010/11/10,ESVUFR
TW0003557005,3557,嘉威,上市 ,股票,其他業,2008/02/27,ESVUFR
TW0003563003,3563,牧德,上市 ,股票,光電業,2019/04/02,ESVUFR
TW0003576005,3576,聯合再生,上市 ,股票,光電業,2009/01/12,ESVUFR
TW0003583001,3583,辛耘,上市 ,股票,半導體業,2013/03/12,ESVUFR
TW0003588000,3588,通嘉,上市 ,股票,半導體業,2009/08/14,ESVUFR
TW0003591004,3591,艾笛森,上市 ,股票,光電業,2010/11/12,ESVUFR
TW0003593000,3593,力銘,上市 ,股票,電子零組件業,2009/03/16,ESVUFR
TW0003596003,3596,智易,上市 ,股票,通信網路業,2009/03/11,ESVUFR
TW0003605002,3605,宏致,上市 ,股票,電子零組件業,2009/03/26,ESVUFR
TW0003607008,3607,谷崧,上市 ,股票,電子零組件業,2009/10/28,ESVUFR
TW0003617007,3617,碩天,上市 ,股票,其他電子業,2009/12/23,ESVUFR
TW0003622007,3622,洋華,上市 ,股票,光電業,2009/03/25,ESVUFR
TW0003645008,3645,達邁,上市 ,股票,電子零組件業,2011/10/05,ESVUFR
TW0003653002,3653,健策,上市 ,股票,電子零組件業,2009/11/18,ESVUFR
KYG022421088,3661,世芯-KY,上市 ,股票,半導體業,2014/10/28,ESVUFR
KYG114741062,3665,貿聯-KY,上市 ,股票,其他電子業,2011/04/21,ESVUFR
TW0003669008,3669,圓展,上市 ,股票,光電業,2011/08/25,ESVUFR
KYG898431096,3673,TPK-KY,上市 ,股票,光電業,2010/10/29,ESVTFR
TW0003679007,3679,新至陞,上市 ,股票,電子零組件業,2011/10/05,ESVUFR
TW0003682001,3682,亞太電,上市 ,股票,通信網路業,2013/08/05,ESVUFR
TW0003686002,3686,達能,上市 ,股票,半導體業,2010/07/20,ESVUFR
TW0003694006,3694,海華,上市 ,股票,通信網路業,2011/05/03,ESVUFR
TW0003698007,3698,隆達,上市 ,股票,光電業,2011/09/29,ESVUFR
TW0003701009,3701,大眾控,上市 ,股票,電腦及週邊設備業,2004/08/30,ESVUFR
TW0003702007,3702,大聯大,上市 ,股票,電子通路業,2005/11/09,ESVUFR
TW0003703005,3703,欣陸,上市 ,股票,建材營造業,2010/04/08,ESVUFR
TW0003704003,3704,合勤控,上市 ,股票,通信網路業,2010/08/16,ESVUFR
TW0003705000,3705,永信,上市 ,股票,生技醫療業,2011/01/03,ESVUFR
TW0003706008,3706,神達,上市 ,股票,電腦及週邊設備業,2013/09/12,ESVUFR
TW0003708004,3708,上緯投控,上市 ,股票,化學工業,2016/08/31,ESVUFR
TW0003711008,3711,日月光投控,上市 ,股票,半導體業,2018/04/30,ESVUFR
TW0003712006,3712,永崴投控,上市 ,股票,電腦及週邊設備業,2018/10/01,ESVUFR
TW0004104005,4104,佳醫,上市 ,股票,生技醫療業,2007/12/31,ESVUFR
TW0004106000,4106,雃博,上市 ,股票,生技醫療業,2004/11/08,ESVUFR
TW0004108006,4108,懷特,上市 ,股票,生技醫療業,2008/07/16,ESVUFR
TW0004119003,4119,旭富,上市 ,股票,生技醫療業,2004/01/07,ESVUFR
TW0004133004,4133,亞諾法,上市 ,股票,生技醫療業,2009/12/28,ESVUFR
KYG211641017,4137,麗豐-KY,上市 ,股票,生技醫療業,2013/11/27,ESVUFR
KYG7644E1098,4141,龍燈-KY,上市 ,股票,生技醫療業,2012/04/25,ESVUFR
TW0004142005,4142,國光生,上市 ,股票,生技醫療業,2012/05/03,ESVUFR
KYG0232P1072,4148,全宇生技-KY,上市 ,股票,生技醫療業,2017/06/08,ESVUFR
TW0004155007,4155,訊映,上市 ,股票,生技醫療業,2017/12/05,ESVUFR
TW0004164009,4164,承業醫,上市 ,股票,生技醫療業,2012/10/24,ESVUFR
KYG518761039,4190,佐登-KY,上市 ,股票,生技醫療業,2015/10/21,ESVUFR
TW0004306006,4306,炎洲,上市 ,股票,塑膠工業,2008/01/21,ESVUFR
TW0004414008,4414,如興,上市 ,股票,紡織纖維,2004/09/06,ESVUFR
TW0004426002,4426,利勤,上市 ,股票,紡織纖維,2011/12/16,ESVUFR
TW0004438007,4438,廣越,上市 ,股票,紡織纖維,2016/10/18,ESVUFR
KYG9114F1037,4439,冠星-KY,上市 ,股票,紡織纖維,2019/12/05,ESVUFR
TW0004526009,4526,東台,上市 ,股票,電機機械,2003/09/15,ESVUFR
TW0004532007,4532,瑞智,上市 ,股票,電機機械,2003/08/04,ESVUFR
TW0004536008,4536,拓凱,上市 ,股票,其他業,2013/10/09,ESVUFR
TW0004540000,4540,全球傳動,上市 ,股票,電機機械,2018/08/15,ESVUFR
TW0004545009,4545,銘鈺,上市 ,股票,電子零組件業,2016/01/06,ESVUFR
TW0004551007,4551,智伸科,上市 ,股票,汽車工業,2015/08/10,ESVUFR
KYG5479W1033,4552,力達-KY,上市 ,股票,電機機械,2016/07/20,ESVUFR
TW0004555008,4555,氣立,上市 ,股票,電機機械,2015/10/27,ESVUFR
KYG988461011,4557,永新-KY,上市 ,股票,汽車工業,2015/10/12,ESVUFR
KYG853531039,4560,強信-KY,上市 ,股票,電機機械,2017/05/26,ESVUFR
TW0004562004,4562,穎漢,上市 ,股票,電機機械,2017/08/21,ESVUFR
TW0004564000,4564,元翎,上市 ,股票,電機機械,2019/03/07,ESVUFR
TW0004566005,4566,時碩工業,上市 ,股票,電機機械,2018/02/05,ESVUFR
KYG5258M1024,4571,鈞興-KY,上市 ,股票,電機機械,2019/09/17,ESVUFR
TW0004572003,4572,駐龍,上市 ,股票,電機機械,2019/09/10,ESVUFR
TW0004576004,4576,大銀微系統,上市 ,股票,電機機械,2019/09/04,ESVUFR
KYG977291007,4581,光隆精密-KY,上市 ,股票,汽車工業,2020/03/09,ESVUFR
TW0004720008,4720,德淵,上市 ,股票,化學工業,2015/06/24,ESVUFR
TW0004722004,4722,國精化,上市 ,股票,化學工業,2012/08/15,ESVUFR
TW0004725007,4725,信昌化,上市 ,股票,化學工業,2007/10/02,ESVUFR
TW0004737002,4737,華廣,上市 ,股票,生技醫療業,2010/12/23,ESVUFR
TW0004739008,4739,康普,上市 ,股票,化學工業,2017/09/08,ESVUFR
TW0004746003,4746,台耀,上市 ,股票,生技醫療業,2011/03/01,ESVUFR
TW0004755004,4755,三福化,上市 ,股票,化學工業,2013/11/27,ESVUFR
KYG5138S1057,4763,材料-KY,上市 ,股票,化學工業,2015/11/09,ESVUFR
TW0004764006,4764,雙鍵,上市 ,股票,化學工業,2018/01/04,ESVUFR
TW0004766001,4766,南寶,上市 ,股票,化學工業,2018/11/28,ESVUFR
KYG7473R1065,4807,日成-KY,上市 ,股票,貿易百貨業,2017/06/26,ESVUFR
TW0004904008,4904,遠傳,上市 ,股票,通信網路業,2005/08/24,ESVUFR
TW0004906003,4906,正文,上市 ,股票,通信網路業,2003/06/30,ESVUFR
KYG545091079,4912,聯德控股-KY,上市 ,股票,電子零組件業,2015/05/21,ESVUFR
TW0004915004,4915,致伸,上市 ,股票,電子零組件業,2012/10/05,ESVUFR
TW0004916002,4916,事欣科,上市 ,股票,電腦及週邊設備業,2013/11/21,ESVUFR
TW0004919006,4919,新唐,上市 ,股票,半導體業,2010/09/27,ESVUFR
KYG0407M1033,4927,泰鼎-KY,上市 ,股票,電子零組件業,2015/09/08,ESVUFR
TW0004930003,4930,燦星網,上市 ,股票,電器電纜,2010/06/21,ESVUFR
TW0004934005,4934,太極,上市 ,股票,光電業,2010/03/10,ESVUFR
KYG3931M1024,4935,茂林-KY,上市 ,股票,光電業,2011/07/28,ESVUFR
TW0004938006,4938,和碩,上市 ,股票,電腦及週邊設備業,2010/06/24,ESVUFR
TW0004942008,4942,嘉彰,上市 ,股票,光電業,2011/06/27,ESVUFR
KYG2346M1033,4943,康控-KY,上市 ,股票,電子零組件業,2016/11/11,ESVUFR
TW0004952007,4952,凌通,上市 ,股票,半導體業,2011/11/01,ESVUFR
TW0004956008,4956,光鋐,上市 ,股票,光電業,2011/10/24,ESVUFR
KYG989221000,4958,臻鼎-KY,上市 ,股票,電子零組件業,2011/12/26,ESVUFR
TW0004960000,4960,誠美材,上市 ,股票,光電業,2011/10/24,ESVUFR
TW0004961008,4961,天鈺,上市 ,股票,半導體業,2018/10/17,ESVUFR
TW0004967005,4967,十銓,上市 ,股票,半導體業,2019/01/14,ESVUFR
TW0004968003,4968,立積,上市 ,股票,半導體業,2015/11/13,ESVUFR
TW0004976006,4976,佳凌,上市 ,股票,光電業,2012/11/20,ESVUFR
KYG6956N1034,4977,眾達-KY,上市 ,股票,通信網路業,2013/11/20,ESVUFR
TW0004989009,4989,榮科,上市 ,股票,電子零組件業,2018/06/28,ESVUFR
TW0004994009,4994,傳奇,上市 ,股票,資訊服務業,2013/12/25,ESVUFR
TW0004999008,4999,鑫禾,上市 ,股票,電子零組件業,2013/06/03,ESVUFR
TW0005007009,5007,三星,上市 ,股票,鋼鐵工業,2011/09/16,ESVUFR
TW0005203004,5203,訊連,上市 ,股票,資訊服務業,2004/09/27,ESVUFR
KYG530791022,5215,科嘉-KY,上市 ,股票,電腦及週邊設備業,2011/12/26,ESVUFR
KYG291021031,5225,東科-KY,上市 ,股票,其他電子業,2012/11/05,ESVUFR
TW0005234009,5234,達興材料,上市 ,股票,光電業,2012/07/16,ESVUFR
KYG312361051,5243,乙盛-KY,上市 ,股票,光電業,2013/11/25,ESVUFR
TW0005258008,5258,虹堡,上市 ,股票,電腦及週邊設備業,2016/12/30,ESVUFR
KYG193031096,5264,鎧勝-KY,上市 ,股票,電腦及週邊設備業,2013/01/25,ESVUFR
TW0005269005,5269,祥碩,上市 ,股票,半導體業,2012/12/12,ESVUFR
TW0005283006,5283,禾聯碩,上市 ,股票,電器電纜,2019/05/24,ESVUFR
KYG521131006,5284,jpp-KY,上市 ,股票,其他業,2017/03/09,ESVUFR
TW0005285001,5285,界霖,上市 ,股票,半導體業,2014/02/25,ESVUFR
KYG314551014,5288,豐祥-KY,上市 ,股票,電機機械,2014/09/25,ESVUFR
TW0005388003,5388,中磊,上市 ,股票,通信網路業,2007/12/03,ESVUFR
TW0005434005,5434,崇越,上市 ,股票,電子通路業,2003/08/25,ESVUFR
TW0005469001,5469,瀚宇博,上市 ,股票,電子零組件業,2003/08/25,ESVUFR
TW0005471007,5471,松翰,上市 ,股票,半導體業,2003/08/25,ESVUFR
TW0005484000,5484,慧友,上市 ,股票,光電業,2003/08/25,ESVUFR
TW0005515001,5515,建國,上市 ,股票,建材營造業,2003/10/06,ESVUFR
TW0005519003,5519,隆大,上市 ,股票,建材營造業,2014/02/10,ESVUFR
TW0005521009,5521,工信,上市 ,股票,建材營造業,2012/12/18,ESVUFR
TW0005522007,5522,遠雄,上市 ,股票,建材營造業,2007/08/06,ESVUFR
TW0005525000,5525,順天,上市 ,股票,建材營造業,2004/11/26,ESVUFR
TW0005531008,5531,鄉林,上市 ,股票,建材營造業,2005/01/31,ESVUFR
TW0005533004,5533,皇鼎,上市 ,股票,建材營造業,2008/04/30,ESVUFR
TW0005534002,5534,長虹,上市 ,股票,建材營造業,2004/05/24,ESVUFR
KYG8919A1031,5538,東明-KY,上市 ,股票,鋼鐵工業,2013/12/16,ESVUFR
KYG566541093,5546,永固-KY,上市 ,股票,建材營造業,2020/05/20,ESVUFR
TW0005607006,5607,遠雄港,上市 ,股票,航運業,2004/12/02,ESVUFR
TW0005608004,5608,四維航,上市 ,股票,航運業,2003/08/25,ESVUFR
TW0005706006,5706,鳳凰,上市 ,股票,觀光事業,2011/10/21,ESVUFR
KYG202881093,5871,中租-KY,上市 ,股票,其他業,2011/12/13,ESVUFR
TW0005876007,5876,上海商銀,上市 ,股票,金融保險業,2018/10/19,ESVUFR
TW0005880009,5880,合庫金,上市 ,股票,金融保險業,2011/12/01,ESVUFR
KYG8661M1078,5906,台南-KY,上市 ,股票,貿易百貨業,2011/10/24,ESVUFR
KYG4064G1029,5907,大洋-KY,上市 ,股票,貿易百貨業,2012/06/06,ESVUFR
TW0006005002,6005,群益證,上市 ,股票,金融保險業,2005/11/21,ESVUFR
TW0006024003,6024,群益期,上市 ,股票,金融保險業,2017/10/16,ESVUFR
TW0006108004,6108,競國,上市 ,股票,電子零組件業,2008/12/30,ESVUFR
TW0006112006,6112,聚碩,上市 ,股票,資訊服務業,2003/08/04,ESVUFR
TW0006115009,6115,鎰勝,上市 ,股票,電子零組件業,2004/07/19,ESVUFR
TW0006116007,6116,彩晶,上市 ,股票,光電業,2004/09/06,ESVUFR
TW0006117005,6117,迎廣,上市 ,股票,電腦及週邊設備業,2003/08/25,ESVUFR
TW0006120009,6120,達運,上市 ,股票,光電業,2006/09/13,ESVUFR
TW0006128002,6128,上福,上市 ,股票,電腦及週邊設備業,2003/06/16,ESVUFR
TW0006131006,6131,鈞泰,上市 ,股票,光電業,2004/09/27,ESVUFR
TW0006133002,6133,金橋,上市 ,股票,電子零組件業,2003/08/15,ESVUFR
TW0006136005,6136,富爾特,上市 ,股票,通信網路業,2003/08/25,ESVUFR
TW0006139009,6139,亞翔,上市 ,股票,其他電子業,2003/08/25,ESVUFR
TW0006141005,6141,柏承,上市 ,股票,電子零組件業,2003/10/22,ESVUFR
TW0006142003,6142,友勁,上市 ,股票,通信網路業,2003/08/04,ESVUFR
TW0006152002,6152,百一,上市 ,股票,通信網路業,2009/12/08,ESVUFR
TW0006153000,6153,嘉聯益,上市 ,股票,電子零組件業,2008/01/21,ESVUFR
TW0006155005,6155,鈞寶,上市 ,股票,電子零組件業,2006/08/18,ESVUFR
TW0006164007,6164,華興,上市 ,股票,光電業,2008/10/21,ESVUFR
TW0006165004,6165,捷泰,上市 ,股票,電子零組件業,2003/08/04,ESVUFR
TW0006166002,6166,凌華,上市 ,股票,電腦及週邊設備業,2004/11/08,ESVUFR
